Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",0,4.14,Voyager,Paperback,278,2003,1974,,2021/01/03,,,read,,,,1,0
16067494,"Day of the Unicorn (Part 1) (Gundam Unicorn, #1)",Harutoshi Fukui,"Fukui, Harutoshi",,"=""""","=""""",0,4.10,Kadokawa Shoten,Paperback,234,2007,2007,,2020/09/29,,,read,,,,2,0
709611,"For the Emperor (Ciaphas Cain, #1)",Sandy Mitchell,"Mitchell, Sandy",,"=""1844160505""","=""9781844160501""",0,4.23,Black Library,Paperback,416,2003,2003,2021/01/03,2020/12/23,,,read,,,,1,0
15901170,"Defense Acquisition Reform, 1960-2009: An Elusive Goal",J. Ronald Fox,"Fox, J. Ronald",Richard Stewart,"=""1780397887""","=""9781780397887""",0,3.57,Military Bookshop,Paperback,286,2012,2012,,2019/12/27,to-read,to-read (#26),to-read,,,,0,0
35395830,The Mattis Way of War: An Examination of Operational Art in Task Force 58 and 1st Marine Division,Michael L. Valenti,"Valenti, Michael L.",,"=""""","=""""",0,4.13,,Kindle Edition,112,2017,2015,,2020/12/12,,,read,,,,1,0
245673,Dark Ages America: The Final Phase of Empire,Morris Berman,"Berman, Morris",,"=""0393329771""","=""9780393329773""",0,4.02,W. W. Norton & Company,Paperback,402,2007,2005,,2020/05/19,,,read,,,,1,0
48557815,A Warning,Anonymous,"Anonymous, Anonymous",Miles Taylor,"=""""","=""""",0,3.93,Twelve,Kindle Edition,259,2019,2019,,2020/05/06,,,read,,,,1,0
158770,Three Kingdoms (4-Volume Boxed Set),Luo Guanzhong,"Guanzhong, Luo",Moss Roberts,"=""7119005901""","=""9787119005904""",0,4.37,Foreign Languages Press,Paperback,2339,1995,1522,,2019/12/27,to-read,to-read (#23),to-read,,,,0,0
41093489,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""1534431004""","=""9781534431003""",0,3.93,Gallery / Saga Press,Hardcover,198,2019,2019,,2019/12/27,to-read,to-read (#21),to-read,,,,0,0
19035426,Divided by Faith: Evangelical Religion and the Problem of Race in America,Michael O. Emerson,"Emerson, Michael O.",Christian Smith,"=""""","=""""",0,4.18,Oxford University Press,Kindle Edition,224,2000,2000,,2019/12/27,to-read,to-read (#25),to-read,,,,0,0
430763,Faithful Generations: Race and New Asian American Churches,Russell Jeung,"Jeung, Russell",,"=""0813535034""","=""9780813535036""",0,4.27,Rutgers University Press,Paperback,240,2004,2004,,2019/12/27,to-read,to-read (#24),to-read,,,,0,0
